Method,M,efC,efS,Recall,Latency(us)
HNSW(OpenMP),M=256,efC=100,efS=50,0.9845,321
HNSW(OpenMP),M=256,efC=100,efS=100,0.9965,487
HNSW(OpenMP),M=256,efC=100,efS=200,0.9995,683
HNSW(OpenMP),M=256,efC=100,efS=300,1,1282
HNSW(OpenMP),M=256,efC=100,efS=400,1,1507
HNSW(OpenMP),M=256,efC=100,efS=500,1,1786
HNSW(OpenMP),M=256,efC=150,efS=50,0.985,318
HNSW(OpenMP),M=256,efC=150,efS=100,0.9965,524
HNSW(OpenMP),M=256,efC=150,efS=200,0.9995,848
HNSW(OpenMP),M=256,efC=150,efS=300,1,1181
HNSW(OpenMP),M=256,efC=150,efS=400,1,1367
HNSW(OpenMP),M=256,efC=150,efS=500,1,1547
HNSW(OpenMP),M=256,efC=200,efS=50,0.982,313
HNSW(OpenMP),M=256,efC=200,efS=100,0.9965,514
HNSW(OpenMP),M=256,efC=200,efS=200,0.9995,943
HNSW(OpenMP),M=256,efC=200,efS=300,1,1211
HNSW(OpenMP),M=256,efC=200,efS=400,1,1563
HNSW(OpenMP),M=256,efC=200,efS=500,1,1849
HNSW(OpenMP),M=8,efC=100,efS=50,0.921,64
HNSW(OpenMP),M=8,efC=100,efS=100,0.967,116
HNSW(OpenMP),M=8,efC=100,efS=200,0.9895,270
HNSW(OpenMP),M=8,efC=100,efS=300,0.9925,554
HNSW(OpenMP),M=8,efC=100,efS=400,0.995,348
HNSW(OpenMP),M=8,efC=100,efS=500,0.9965,455
HNSW(OpenMP),M=8,efC=150,efS=50,0.924,91
HNSW(OpenMP),M=8,efC=150,efS=100,0.966,108
HNSW(OpenMP),M=8,efC=150,efS=200,0.9915,282
HNSW(OpenMP),M=8,efC=150,efS=300,0.994,365
HNSW(OpenMP),M=8,efC=150,efS=400,0.997,449
HNSW(OpenMP),M=8,efC=150,efS=500,0.998,702
HNSW(OpenMP),M=8,efC=200,efS=50,0.9325,49
HNSW(OpenMP),M=8,efC=200,efS=100,0.9715,121
HNSW(OpenMP),M=8,efC=200,efS=200,0.992,258
HNSW(OpenMP),M=8,efC=200,efS=300,0.994,248
HNSW(OpenMP),M=8,efC=200,efS=400,0.9965,357
HNSW(OpenMP),M=8,efC=200,efS=500,0.9975,498
